palabra, tipo gramatical, word, sentence, 言葉, 読み, 例文, 例文の読み
coral blando, sustantivo, soft coral, The soft coral sways gently in the current., ソフトコーラル, そふとこーらる, ソフトコーラルは流れの中で優しく揺れます, そふとこーらるはながれのなかでやさしくゆれます
zooplancton, sustantivo, zooplankton, Zooplankton drifts lazily with the current., ゾープランクトン, ぞーぷらんくとん, ゾープランクトンは流れと一緒にのんびりと漂います, ぞーぷらんくとんはながれといっしょにのんびりとただよいます
bucear, verbo, dive, The diver explores the coral reef., ダイビング, だいびんぐ, ダイバーはサンゴ礁を探検します, だいばーはさんごしょうをたんけんします
lanzar, verbo, toss, The trainer tosses fish to the dolphins., 投げる, なげる, 調教師はイルカに魚を投げます, ちょうきょうしはいるかにさかなをなげます
forraje, sustantivo, forage, The fish forage for food among the rocks., 飼料, しりょう, 魚は岩の間で餌を探します, さかなはいわのあいだでえさをさがします
merodear, verbo, lurk, The predator lurks in the shadows., 潜む, ひそむ, 捕食者は影に潜んでいます, ほしょくしゃはかげにひそんでいます
submarino, adjetivo, submarine, The submarine explores the ocean depths., 潜水艦, せんすいかん, 潜水艦は海の深みを探検します, せんすいかんはうみのふかみをたんけんします
pulular, verbo, swarm, The tiny fish swarm around the coral., 群がる, むらがる, 小さな魚がサンゴの周りを群がります, ちいさなさかながさんごのまわりをむらがります
espectador, sustantivo, spectator, The visitors watch the feeding frenzy from outside the tank., 観客, かんきゃく, 訪問者は水槽の外からエサを与える様子を見ます, ほうもんしゃはすいそうのそとからえさをあたえるようすをみます
flotar, verbo, float, The jellyfish float gracefully in the water., 浮かぶ, うかぶ, クラゲは水中で優雅に浮かびます, くらげはすいちゅうでゆうがにうかびます
nadar, verbo, paddle, The turtle paddles through the water., 泳ぐ, およぐ, ウミガメは水中を泳ぎます, うみがめはすいちゅうをおよぎます
escurridizo, adjetivo, elusive, The elusive seahorse hides among the seagrass., 回避する, かいひする, 回避する, かいひする
sumergirse, verbo, plunge, The diver plunges into the depths., 飛び込む, とびこむ, ダイバーは深淵に飛び込みます, だいばーはしんえんにとびこみます
camuflaje, sustantivo, camouflage, The octopus uses camouflage to blend with its surroundings., カモフラージュ, かもふらーじゅ, タコは周囲と同化するためにカモフラージュを使います, たこはしゅういとどうかするためにかもふらーじゅをつかいます
fluir, verbo, flow, The current flows gently through the tank., 流れる, ながれる, 流れは水槽を優しく流れます, ながれはすいそうをやさしくながれます
