palabra, tipo gramatical, word, sentence, 言葉, 読み, 例文, 例文の読み
pintoresco, adjetivo, picturesque, The forest was a picturesque scene with its towering trees and bubbling brooks., 絵のような, えのような, 森はそびえ立つ木々と流れる小川で絵のような景色でした, もりはそびえたつきぎゅうとながれるおがわでえのようなけしきでした
inexplorado, adjetivo, unexplored, Deep in the forest lies an unexplored wilderness., 未開拓の, みかいたくの, 深い森の奥には未開拓の荒野があります, ふかいもりのおくにはみかいたくのこうやがあります
salvaje, adjetivo, wild, The forest was home to a variety of wild animals., 野生の, やせいの, 森はさまざまな野生動物の住処でした, もりはさまざまなやせいどうぶつのすみかでした
fresco, adjetivo, fresh, The forest air was cool and fresh., 新鮮な, しんせんな, 森の空気は涼しくて新鮮でした, もりのくうきはすずしくてしんせんでした
majestuoso, adjetivo, majestic, The forest was a majestic sight with its towering trees., 壮大な, そうだいな, 森はそびえ立つ木々で壮大な景色でした, もりはそびえたつきぎゅうでそうだいなけしきでした
atractivo, adjetivo, attractive, The forest was an attractive destination for nature lovers., 魅力的な, みりょくてきな, 森は自然愛好家にとって魅力的な目的地でした, もりはしぜんあいこうかにとってみりょくてきなもくてきちでした
oscuro, adjetivo, shady, The forest offered shady relief from the hot sun., 日陰, ひかげ, 森は暑い太陽からの日陰を提供しました, もりはあついたいようからのひかげをていきょうしました
apacible, adjetivo, placid, The forest pond was calm and placid., 平静な, へいせいな, 森の池は静かで穏やかでした, もりのいけはしずかでおだやかでした
fresco, adjetivo, cool, The forest air was cool and refreshing on a hot summer day., 涼しい, すずしい, 暑い夏の日に森の空気は涼しくてさわやかでした, あついなつのひにもりのくうきはすずしくてさわやかでした
místico, adjetivo, mystical, The forest had a mystical aura as the sun set., 神秘的な, しんぴてきな, 森は太陽が沈むにつれて神秘的なオーラを放っていました, もりはたいようがしずむにつれてしんぴてきなおーらをはっていました
abundante, adjetivo, abundant, The forest was abundant with wildlife and plant species., 豊富な, ほうふな, 森は野生動物や植物種で豊かでした, もりはやせいどうぶつやしょくぶつしゅでゆたかでした
plácido, adjetivo, placid, The forest was a plácido retreat from the chaos of everyday life., 穏やかな, おだやかな, 森は日常生活のカオスからの穏やかな避難所でした, もりはにちじょうせいかつのかおすからのおだやかなひなんじょでした
cálido, adjetivo, warm, The forest was warm and inviting in the early morning sun., 暖かい, あたたかい, 早朝の太陽に森は暖かくて招待していました, そうちょうのたいようにもりはあたたかくてしょうたいしていました
sorprendente, adjetivo, astounding, The forest was filled with astounding wonders of nature., 驚くべき, おどろくべき, 森は自然の驚くべき不思議で満ちていました, もりはしぜんのおどろくべきふしぎでみちていました
diverso, adjetivo, diverse, The forest ecosystem is diverse and complex., 多様な, たような, 森の生態系は多様で複雑です, もりのせいたいけいはたようでふくざつです
atrayente, adjetivo, appealing, The forest was an appealing destination for nature enthusiasts., 魅力的な, みりょくてきな, 森は自然愛好家にとって魅力的な目的地でした, もりはしぜんあいこうかにとってみりょくてきなもくてきちでした
oculto, adjetivo, hidden, The forest hides many secrets waiting to be discovered., 隠された, かくされた, 森には発見を待っている多くの秘密が隠されています, もりにははっけんをまっているおおくのひみつがかくされています
sereno, adjetivo, calm, The forest was calm and serene in the early morning hours., 静かな, しずかな, 早朝の時間に森は静かで穏やかでした, そうちょうのじかんにもりはしずかでおだやかでした
espeluznante, adjetivo, eerie, The forest had an eerie atmosphere as darkness fell., 不気味な, ぶきみな, 暗闇が訪れるにつれて森は不気味な雰囲気を持っていました, くらやみがおとずれるにつれてもりはぶきみなふんいきをもっていました
pintoresco, adjetivo, scenic, The forest offered scenic views of towering trees and rushing streams., 絵のような, えのような, 森はそびえ立つ木々と急流を描いた絵のような景色を提供しました, もりはそびえたつきぎゅうときゅうりゅうをえがいたえのようなけしきをていきょうしました
tradicional, adjetivo, traditional, The forest is a traditional setting for many cultural ceremonies., 伝統的な, でんとうてきな, 森は多くの文化的な儀式の伝統的な舞台です, もりはおおくのぶんかてきなぎしきのでんとうてきなぶたいです
escondido, adjetivo, hidden, The forest was filled with hidden nooks and crannies., 隠れた, かくれた, 森は隠れた隙間と隠れ家でいっぱいでした, もりはかくれたすきまとかくれがでいっぱいでした
noble, adjetivo, noble, The forest has a noble presence with its towering trees., 高貴な, こうきな, 森はそびえ立つ木々で高貴な存在感があります, もりはそびえたつきぎゅうでこうきなそんざいかんがあります
maravilloso, adjetivo, marvelous, The forest was a marvelous sight with its colorful foliage., 素晴らしい, すばらしい, 森は色鮮やかな葉っぱで見事な光景でした, もりはいろざやかなはっぱでみごとなけしきでした
intacto, adjetivo, pristine, The forest remained pristine and untouched by human hands., 原始的な, げんしてきな, 森は人の手を一切受けずに原始的でした, もりはひとのてをいっさいうけずにげんしてきでした
inusual, adjetivo, unusual, The forest was home to many unusual plants and animals., 珍しい, めずらしい, 森は珍しい植物や動物の住処でした, もりはめずらしいしょくぶつやどうぶつのすみかでした
nuevo, adjetivo, new, The forest offered new discoveries at every turn., 新しい, あたらしい, 森はどこを探検しても新しい発見がありました, もりはどこをたんけんしてもあたらしいはっけんがありました
secretivo, adjetivo, secretive, "The forest had a secretive air, as if hiding ancient mysteries.", 秘密の, ひみつの, 森は古代の謎を隠しているかのような秘密の雰囲気がありました, もりはこだいのなぞをかくしているかのようなひみつのふんいきがありました
reservado, adjetivo, reserved, The forest was a reserved sanctuary for many rare species., 保護された, ほごされた, 森は多くの珍しい種のための保護された聖域でした, もりはおおくのめずらしいしゅのためのほごされたせいいきでした
atractivo, adjetivo, appealing, The forest was an appealing destination for nature lovers., 魅力的な, みりょくてきな, 森は自然愛好家にとって魅力的な目的地でした, もりはしぜんあいこうかにとってみりょくてきなもくてきちでした
novedoso, adjetivo, novel, The forest presented novel sights and experiences for the visitors., 新しい, あたらしい, 森は訪問者に新しい景色や経験を提供しました, もりはほうもんしゃにあたらしいけしきやけいけんをていきょうしました
conmovedor, adjetivo, moving, The forest had a moving beauty that touched the hearts of all who visited., 感動的な, かんどうてきな, 森は訪れたすべての人々の心に触れる感動的な美しさがありました, もりはおとずれたすべてのひとびとのこころにふれるかんどうてきなうつくしさがありました
ancestral, adjetivo, ancestral, The forest was an ancestral home for many indigenous tribes., 先祖の, せんぞの, 森は多くの先住民族にとっての先祖の故郷でした, もりはおおくのせんじゅうみんぞくにとってのせんぞのふるさとでした
inspirador, adjetivo, inspiring, The forest was an inspiring place for artists and writers., インスピレーションを与える, いんすぴれーしょんをあたえる, 森は芸術家や作家にとってインスピレーションを与える場所でした, もりはげいじゅつかやさっかにとっていんすぴれーしょんをあたえるばしょでした
intacto, adjetivo, untouched, The forest remained untouched by human hands., 手付かずの, てづかずの, 森は人の手で触れられずに残っていました, もりはひとのてでふれられずにのこっていました
sereno, adjetivo, placid, The forest pond was calm and placid., 平静な, へいせいな, 森の池は静かで穏やかでした, もりのいけはしずかでおだやかでした
pintoresco, adjetivo, picturesque, The forest offered picturesque views of towering trees and bubbling brooks., 絵のような, えのような, 森はそびえ立つ木々と流れる小川で絵のような景色を提供しました, もりはそびえたつきぎゅうとながれるおがわでえのようなけしきをていきょうしました
