palabra, tipo gramatical, word, sentence, 言葉, 読み, 例文, 例文の読み
riachuelo, sustantivo, stream, They followed the stream deep into the forest., 小川, おがわ, 彼らは小川を深く森の中に追いかけました。, かれらはおがわをふかくもりのなかにおいかけました。
arado, sustantivo, plow, The plow turned over the soil for planting., 鋤, すき, 鋤は植えるために土をひっくり返しました。, すきはうえるためにつちをひっくりかえしました。
prado, sustantivo, meadow, The meadow was covered in wildflowers., 牧草地, ぼくそうち, 牧草地は野生の花で覆われていました。, ぼくそうちはやせいのはなでおおわれていました。
campesino, sustantivo, peasant, The peasant worked hard to provide for his family., 農民, のうみん, 農民は家族を養うために一生懸命働きました。, のうみんはかぞくをやしなうためにいっしょうけんめいはたらきました。
vaca, sustantivo, cow, The cow mooed loudly in the field., 牛, うし, 牛は畑で大きな音で鳴きました。, うしははたけでおおきなおとでなきました。
gallo, sustantivo, rooster, The rooster crowed at dawn., 雄鶏, おんどり, 朝日で雄鶏が鳴きました。, あさひでおんどりがなきました。
árbol, sustantivo, tree, The tree provided shade from the sun., 木, き, 木が太陽からの日陰を提供しました。, きがたいようからのひかげをていきょうしました。
herramienta, sustantivo, tool, He used a tool to fix the fence., 道具, どうぐ, 彼はフェンスを修理するために道具を使いました。, かれはふぇんすをしゅうりするためにどうぐをつかいました。
zarza, sustantivo, bramble, The bramble scratched his arm as he passed., 藪, やぶ, 彼が通り過ぎると、藪が彼の腕を引っ掻きました。, かれがとおりすぎると、やぶがかれのうでをひっかきました。
camino, sustantivo, path, The path led through the forest to the village., 道, みち, 道は森を通って村へと続いていました。, みちはもりをとおってむらへとつづいていました。
campo, sustantivo, field, The children played soccer in the field., 野原, のはら, 子供たちは野原でサッカーをしました。, こどもたちはのはらでさっかーをしました。
cosechadora, sustantivo, harvester, The harvester worked tirelessly in the fields., 収穫機, しゅうかくき, 収穫機は畑でたゆまず働きました。, しゅうかくきははたけでたゆまずはたらきました。
espantapájaros, sustantivo, scarecrow, The scarecrow kept the birds away from the crops., かかし, かかし, かかしは作物から鳥を遠ざけました。, かかしはさくもつからとりをとおざけました。
gallo, sustantivo, cock, The cock crowed to welcome the sunrise., 雄鳥, オス, オスは日の出を迎えるために鳴きました。, オスはひのでをむかえるためになきました。
flor, sustantivo, flower, The flower bloomed beautifully in the meadow., 花, はな, 花が牧草地で美しく咲きました。, はながぼくそうちでうつくしくさきました。
rural, adjetivo, rural, They lived a quiet life in a rural village., 田舎の, いなかの, 彼らは田舎の村で静かな生活を送っていました。, かれらはいなかのむらでしずかなせいかつをおくっていました。
silvestre, adjetivo, wild, The wild berries grew along the path., 野生の, やせいの, 野生のベリーが道沿いに育ちました。, やせいのべりーがみちぞいにそだちました。
fértil, adjetivo, fertile, The fertile soil produced abundant crops., 肥沃な, ひよくな, 肥沃な土地は豊富な作物を生み出しました。, ひよくなとちはほうふなさくもつをうみだしました。
verde, adjetivo, green, The green grass covered the hillsides., 緑の, みどりの, 緑の草が丘の斜面を覆っていました。, みどりのくさがおかのしゃめんをおおっていました。
soleado, adjetivo, sunny, "It was a beautiful, sunny day in the countryside.", 晴れた, はれた, 田舎では美しい晴れた日でした。, いなかではうつくしいはれたひでした。
campestre, adjetivo, rustic, The rustic cottage was surrounded by flowers., 田舎風の, いなかふうの, 田舎風の小屋は花に囲まれていました。, いなかふうのこやははなにかこまれていました。
agrícola, adjetivo, agricultural, The agricultural community relied on farming for survival., 農業の, のうぎょうの, 農業コミュニティは生存のために農業に依存していました。, のうぎょうコミュニティはせいぞんのためにのうぎょうにいそんしていました。
naturaleza, sustantivo, nature, They loved to explore the nature of the countryside., 自然, しぜん, 彼らは田舎の自然を探検するのが大好きでした。, かれらはいなかのしぜんをたんけんするのがだいすきでした。
granjero, sustantivo, farmer, The farmer grew vegetables and raised animals., 農夫, のうふ, その農夫は野菜を育て、動物を飼っていました。, そののうふはやさいをそだて、どうぶつをかっていました。
soledad, sustantivo, solitude, He sought solitude in the tranquility of the countryside., 孤独, こどく, 彼は田舎の静けさの中で孤独を求めました。, かれはいなかのしずけさのなかでこどくをもとめました。
pajar, sustantivo, hayloft, The hayloft was filled with sweet-smelling hay., 干し草小屋, ほしくさごや, 干し草小屋は甘い匂いのする干し草でいっぱいでした。, ほしくさごやはあまいにおいのするほしくさでいっぱいでした。
planta, sustantivo, plant, She admired the beauty of each plant in the garden., 植物, しょくぶつ, 彼女は庭のそれぞれの植物の美しさに感心しました。, かのじょはにわのそれぞれのしょくぶつのうつくしさにかんしんしました。
ábrego, sustantivo, windward, The windward brought warm air from the south., 風下, かざし, アブレゴは南から暖かい空気を運んできました。, あぶれごはみなみからあたたかいくうきをはこんできました。
oruga, sustantivo, caterpillar, The caterpillar crawled along the stem of the plant., 芋虫, いもむし, 芋虫は植物の茎沿いを這っていました。, いもむしはしょくぶつのくきぞいをはっていました。
frutal, adjetivo, fruity, The wine had a fruity aroma and flavor., 果実の, かじつの, そのワインは果実の香りと味がありました。, そのわいんはかじつのかおりとあじがありました。
regadío, sustantivo, irrigated land, The irrigated land was fertile thanks to the irrigation system., 灌漑地, かんがいち, 灌漑地は灌漑システムのおかげで肥沃でした。, かんがいちはかいシステムのおかげでひよくでした。
ganado, sustantivo, livestock, The livestock grazed in the pasture., 家畜, かちく, 家畜は牧草地で草を食べていました。, かちくはぼくそうちでくさをたべていました。
tierra, sustantivo, earth, They dug into the earth to plant the seeds., 地球, ちきゅう, 彼らは地球に種を植えるために掘りました。, かれらはちきゅうにたねをうえるためにほりました。
cercado, sustantivo, fence, The fence kept the animals out of the garden., フェンス, ふぇんす, フェンスは動物を庭から遠ざけました。, ふぇんすはどうぶつをにわからとおざけました。
hilera, sustantivo, row, She planted the seeds in a row., 列, れつ, 彼女は種を一列に植えました。, かのじょはたねをいちれつにうえました。
viento, sustantivo, wind, The wind blew gently through the trees., 風, かぜ, 風が木々の間をそっと吹きました。, かぜがきぎのあいだをそっとふきました。
brisa, sustantivo, breeze, The breeze carried the scent of flowers., そよ風, そよかぜ, そよ風は花の香りを運んでいました。, そよかぜははなのかおりをはこんでいました。
huerto, sustantivo, orchard, They picked apples in the orchard., 果樹園, かじゅえん, 彼らは果樹園でリンゴを摘みました。, かれらはかじゅえんでりんごをつみました。
llanura, sustantivo, plain, The plain stretched out before them for miles., 平原, へいげん, 平原は彼らの前に何マイルも広がっていました。, へいげんはかれらのまえになんマイルもひろがっていました。
rancho, sustantivo, ranch, They visited a ranch in the countryside., 牧場, ぼくじょう, 彼らは田舎の牧場を訪れました。, かれらはいなかのぼくじょうをたずねました。
vaquero, sustantivo, cowboy, The cowboy herded the cattle across the plain., 牧場労働者, ぼくじょうろうどうしゃ, 牧場労働者は平原を牛を追いました。, ぼくじょうろうどうしゃはへいげんをうしをおいました。
granjero, sustantivo, farmer, The farmer planted crops in the fields., 農家, のうか, 農家は畑に作物を植えました。, のうかははたけにさくもつをうえました。
vestido, adjetivo, dressed, She was dressed in overalls and boots., 服, ふく, 彼女はオーバーオールとブーツを着ていました。, かのじょはおーばーおーるとぶーつをきていました。
sol, sustantivo, sun, The sun warmed the earth., 太陽, たいよう, 太陽が地球を温めました。, たいようがちきゅうをあたためました。
cielo, sustantivo, sky, The sky was clear and blue., 空, そら, 空は晴れて青かった。, そらははれてあおかった。
rana, sustantivo, frog, The frog croaked loudly in the pond., カエル, かえる, カエルは池で大きな声で鳴きました。, かえるはいけでおおきなこえでなきました。
sembrar, verbo, sow, They planned to sow the fields next week., 蒔く, まく, 彼らは来週畑に種を蒔く予定です。, かれらはらいしゅうはたけにたねをまくよていです。
cosechar, verbo, reap, They will reap the wheat in autumn., 刈る, かる, 彼らは秋に小麦を刈ります。, かれらはあきにこむぎをかります。
labrar, verbo, plow, The farmers plow the fields before planting., 耕す, たがやす, 農家は植える前に畑を耕しました。, のうかはうえるまえにはたけをたがやしました。
regar, verbo, water, He likes to water the plants every morning., 水をやる, みずをやる, 彼は毎朝植物に水をやるのが好きです。, かれはまいあさしょくぶつにみずをやるのがすきです。
pescar, verbo, fish, They often go fish in the river., 釣る, つる, 彼らはよく川で釣りに行きます。, かれらはよくかわでつりにいきます。
criar, verbo, raise, They plan to raise chickens and goats., 育てる, そだてる, 彼らは鶏とヤギを育てる予定です。, かれらはにわとやぎをそだてるよていです。
cabalgar, verbo, ride, They like to ride horses in the fields., 乗馬する, じょうばする, 彼らは畑で馬に乗るのが好きです。, かれらははたけでうまにのるのがすきです。
disfrutar, verbo, enjoy, They enjoyed a picnic in the countryside., 楽しむ, たのしむ, 彼らは田舎でピクニックを楽しんでいました。, かれらはいなかでぴくにっくをたのしんでいました。
pastar, verbo, graze, The cows grazed peacefully in the pasture., 放牧する, ほうぼくする, 牛は牧草地で平和に放牧しました。, うしはぼくそうちでへいわにほうぼくしました。
caminar, verbo, walk, They like to walk along the riverbank., 歩く, あるく, 彼らは川岸沿いを歩くのが好きです。, かれらはかわぎしいそいをあるくのがすきです。
plantar, verbo, plant, She planted flowers in the garden., 植える, うえる, 彼女は庭に花を植えました。, かのじょはにわにはなをうえました。
rimar, verbo, rhyme, The words in the poem rhymed perfectly., 韻を踏む, いんをふむ, 詩の中の言葉は完璧に韻を踏んでいました。, しのなかのことばはかんぺきにいんをふんでいました。
